                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1179,                  1.424,                 1.3681,                0.79413,                0.67417,                0.74321,                0.28237,                 2.1347,                 1.3991,                 1.4571,             0.00066484,             0.00066484,             0.00066484
                      2,                 2.1549,                 1.4732,                 1.3978,                0.65061,                0.54474,                0.57567,                0.19178,                 2.2976,                 1.9378,                 1.5243,              0.0012436,              0.0012436,              0.0012436
                      3,                  2.199,                 1.5327,                 1.4259,                0.74306,                0.61381,                0.67864,                0.24211,                 2.2782,                 1.4949,                 1.5447,              0.0017344,              0.0017344,              0.0017344
                      4,                 2.1747,                  1.514,                 1.4092,                0.76764,                0.66306,                0.71203,                0.26173,                 2.1694,                 1.5263,                 1.4697,               0.001604,               0.001604,               0.001604
                      5,                 2.1658,                 1.4546,                 1.3918,                0.78828,                0.68651,                 0.7732,                0.29549,                 2.1381,                 1.3255,                 1.4542,               0.001604,               0.001604,               0.001604
                      6,                 2.0687,                 1.2895,                 1.4661,                0.82249,                0.69295,                0.78409,                0.30972,                 2.1103,                  1.281,                  1.452,               0.001472,               0.001472,               0.001472
                      7,                      2,                 1.1957,                 1.4353,                0.86362,                0.73402,                0.82215,                0.32748,                 2.0969,                 1.2153,                 1.4298,                0.00134,                0.00134,                0.00134
                      8,                 1.9841,                 1.1277,                 1.4175,                0.85352,                 0.7976,                0.87143,                0.35368,                 2.0674,                 1.0807,                 1.4069,               0.001208,               0.001208,               0.001208
                      9,                 1.9426,                  1.068,                  1.403,                 0.8935,                0.80961,                0.87344,                0.36682,                 2.0462,                 1.0639,                 1.4193,               0.001076,               0.001076,               0.001076
                     10,                  1.915,                 1.0173,                 1.3827,                0.90127,                0.83335,                0.90381,                0.37163,                  2.001,                 1.0256,                 1.3745,               0.000944,               0.000944,               0.000944
                     11,                 1.8718,                 0.9641,                 1.3606,                0.90727,                0.86379,                0.92875,                0.40798,                 1.9525,                0.96355,                 1.3512,               0.000812,               0.000812,               0.000812
                     12,                 1.8497,                 0.9328,                 1.3433,                0.92123,                0.89201,                0.93345,                0.41166,                  1.944,                0.92676,                 1.3484,                0.00068,                0.00068,                0.00068
                     13,                 1.8075,                0.88646,                 1.3226,                0.93437,                0.88931,                0.93734,                0.42625,                 1.9179,                0.89917,                 1.3368,               0.000548,               0.000548,               0.000548
                     14,                 1.7742,                0.85638,                 1.3067,                0.93162,                0.90826,                0.94928,                0.43628,                 1.8936,                0.86036,                 1.3302,               0.000416,               0.000416,               0.000416
                     15,                 1.7411,                0.82578,                 1.2888,                 0.9456,                0.90819,                0.95112,                0.44069,                 1.9119,                0.84308,                 1.3331,               0.000284,               0.000284,               0.000284
